MetricSet	SymbolName	ShortName	Group	LongName
Ext1	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
Ext1	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
Ext1	HOST_TO_GPUMEM_TRANSACTION_READ	Host To GpuMem Transaction Read	GPU	Number of host reads to GPU local (HBM) memory (downstream)
Ext1	HOST_TO_GPUMEM_TRANSACTION_WRITE	Host To GpuMem Transaction Write	GPU	Number of host writes to GPU local (HBM) memory (downstream)
Ext1	SYSMEM_TRANSACTION_READ	SysMem Transaction Read	GPU	Number of system memory reads (upstream)
Ext1	SYSMEM_TRANSACTION_WRITE	SysMem Transaction Write	GPU	Number of system memory writes (upstream)
Ext1	SCALEUP_DATA_BYTE_RECEIVE	Scaleup Data Byte Receive	GPU	Number of data bytes received (incoming write read return)
Ext1	SCALEUP_INCOMING_ATOMIC_REQUEST	Scaleup Incoming Atomic Request	GPU	Number of incoming atomics requests over scaleup fabric
Ext1	SCALEUP_INCOMING_READ_REQUEST	Scaleup Incoming Read Request	GPU	Number of incoming read requests over scaleup fabric
Ext1	SCALEUP_INCOMING_WRITE_REQUEST	Scaleup Incoming Write Request	GPU	Number of incoming write requests over scaleup fabric
Ext2	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
Ext2	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
Ext2	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
Ext2	STACK_TO_STACK_DATA_BYTE_RECEIVE	Stack To Stack Data Byte Receive	GPU	Number of data bytes received (incoming write read return)
Ext2	STACK_TO_STACK_DATA_BYTE_TRANSMIT	Stack To Stack Data Byte Transmit	GPU	Number of data bytes sent (outgoing write read return)
Ext2	SCALEUP_DATA_BYTE_TRANSMIT	Scaleup Data Byte Transmit	GPU	Number of data bytes sent (outgoing write read return)
Ext2	STACK_TO_STACK_DATA_BYTE_RECEIVE_L3NODE0	Stack To Stack Data Byte Receive L3node0	GPU	Number of data bytes received (incoming write read return)
Ext2	STACK_TO_STACK_DATA_BYTE_RECEIVE_L3NODE2	Stack To Stack Data Byte Receive L3node2	GPU	Number of data bytes received (incoming write read return)
Ext2	STACK_TO_STACK_DATA_BYTE_TRANSMIT_L3NODE0	Stack To Stack Data Byte Transmit L3node0	GPU	Number of data bytes sent (outgoing write read return)
Ext2	STACK_TO_STACK_DATA_BYTE_TRANSMIT_L3NODE2	Stack To Stack Data Byte Transmit L3node2	GPU	Number of data bytes sent (outgoing write read return)
Ext3	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
Ext3	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
Ext3	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
Ext3	STACK_TO_STACK_INCOMING_ATOMIC_REQUEST	Stack To Stack Incoming Atomic Request	GPU	Number of incoming atomics requests over stack to stack interface
Ext3	STACK_TO_STACK_OUTGOING_ATOMIC_REQUEST	Stack To Stack Outgoing Atomic Request	GPU	Number of outgoing atomics requests over stack to stack interface
Ext3	SCALEUP_OUTGOING_ATOMIC_REQUEST	Scaleup Outgoing Atomic Request	GPU	Number of outgoing atomics requests over scaleup fabric
Ext3	STACK_TO_STACK_INCOMING_ATOMIC_REQUEST_L3NODE0	Stack To Stack Incoming Atomic Request L3node0	GPU	Number of incoming atomics requests over stack to stack interface
Ext3	STACK_TO_STACK_INCOMING_ATOMIC_REQUEST_L3NODE2	Stack To Stack Incoming Atomic Request L3node2	GPU	Number of incoming atomics requests over stack to stack interface
Ext3	STACK_TO_STACK_OUTGOING_ATOMIC_REQUEST_L3NODE0	Stack To Stack Outgoing Atomic Request L3node0	GPU	Number of outgoing atomics requests over stack to stack interface
Ext3	STACK_TO_STACK_OUTGOING_ATOMIC_REQUEST_L3NODE2	Stack To Stack Outgoing Atomic Request L3node2	GPU	Number of outgoing atomics requests over stack to stack interface
Ext4	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
Ext4	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
Ext4	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
Ext4	STACK_TO_STACK_INCOMING_READ_REQUEST	Stack To Stack Incoming Read Request	GPU	Number of incoming read requests over stack to stack interface
Ext4	STACK_TO_STACK_INCOMING_WRITE_REQUEST	Stack To Stack Incoming Write Request	GPU	Number of incoming write requests over stack to stack interface
Ext4	SCALEUP_OUTGOING_READ_REQUEST	Scaleup Outgoing Read Request	GPU	Number of outgoing read requests over scaleup fabric
Ext4	STACK_TO_STACK_INCOMING_READ_REQUEST_L3NODE0	Stack To Stack Incoming Read Request L3node0	GPU	Number of incoming read requests over stack to stack interface
Ext4	STACK_TO_STACK_INCOMING_READ_REQUEST_L3NODE2	Stack To Stack Incoming Read Request L3node2	GPU	Number of incoming read requests over stack to stack interface
Ext4	STACK_TO_STACK_INCOMING_WRITE_REQUEST_L3NODE0	Stack To Stack Incoming Write Request L3node0	GPU	Number of incoming write requests over stack to stack interface
Ext4	STACK_TO_STACK_INCOMING_WRITE_REQUEST_L3NODE2	Stack To Stack Incoming Write Request L3node2	GPU	Number of incoming write requests over stack to stack interface
Ext5	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
Ext5	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
Ext5	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
Ext5	STACK_TO_STACK_OUTGOING_READ_REQUEST	Stack To Stack Outgoing Read Request	GPU	Number of outgoing read requests over stack to stack interface
Ext5	STACK_TO_STACK_OUTGOING_WRITE_REQUEST	Stack To Stack Outgoing Write Request	GPU	Number of outgoing write requests over stack to stack interface
Ext5	SCALEUP_OUTGOING_WRITE_REQUEST	Scaleup Outgoing Write Request	GPU	Number of outgoing write requests over scaleup fabric
Ext5	STACK_TO_STACK_OUTGOING_READ_REQUEST_L3NODE0	Stack To Stack Outgoing Read Request L3node0	GPU	Number of outgoing read requests over stack to stack interface
Ext5	STACK_TO_STACK_OUTGOING_READ_REQUEST_L3NODE2	Stack To Stack Outgoing Read Request L3node2	GPU	Number of outgoing read requests over stack to stack interface
Ext5	STACK_TO_STACK_OUTGOING_WRITE_REQUEST_L3NODE0	Stack To Stack Outgoing Write Request L3node0	GPU	Number of outgoing write requests over stack to stack interface
Ext5	STACK_TO_STACK_OUTGOING_WRITE_REQUEST_L3NODE2	Stack To Stack Outgoing Write Request L3node2	GPU	Number of outgoing write requests over stack to stack interface
Ext6	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
Ext6	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
Ext6	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
Ext6	GPU_MEMORY_BYTE_READ_SQIDI0	GPU Memory Byte Read Sqidi0	GPU	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
