MetricSet	SymbolName	ShortName	Group	LongName
FrontEnd1	COMMAND_PARSER_VIDEO_ENGINE_BUSY	Command Parser Video Engine Busy	FrontEnd	Percentage of time in which there is a context loaded and active on the media queue
FrontEnd1	COMMAND_PARSER_VIDEO_ENHANCEMENT_ENGINE_BUSY	Command Parser Video Enhancement Engine Busy	FrontEnd	Percentage of time in which there is a context loaded and active on the video enhancement queue
FrontEnd1	COMMAND_PARSER_COMPUTE_ENGINE_DISPATCH_KERNEL_COUNT_CCS0	Command Parser Compute Engine Dispatch Kernel Count Ccs0	FrontEnd	Number of compute walker commands parsed on the compute engine
FrontEnd1	COMMAND_PARSER_COMPUTE_ENGINE_DISPATCH_KERNEL_COUNT_CCS1	Command Parser Compute Engine Dispatch Kernel Count Ccs1	FrontEnd	Number of compute walker commands parsed on the compute engine
FrontEnd1	COMMAND_PARSER_COMPUTE_ENGINE_DISPATCH_KERNEL_COUNT	Command Parser Compute Engine Dispatch Kernel Count	FrontEnd	Number of compute walker commands parsed on the compute engine
FrontEnd1	COMMAND_PARSER_RENDER_ENGINE_DISPATCH_KERNEL_COUNT	Command Parser Render Engine Dispatch Kernel Count	FrontEnd	Number of compute walker commands parsed on the 3D engine
FrontEnd1	COMMAND_PARSER_FLUSH_COUNT	Command Parser Flush Count	FrontEnd	Number of Stalling flushes at the top of the pipe
FrontEnd1	COMMAND_PARSER_RENDER_ENGINE_DRAW_COUNT	Command Parser Render Engine Draw Count	FrontEnd	Number of DRAW and MESH commands parsed on the 3D engine
Geometry1	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
Geometry1	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
Geometry1	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
Geometry1	CLIPPER_INPUT_VERTEX_SLICE0	Clipper Input Vertex Slice0	Geometry	Number of Clipper input vertices
Geometry1	CLIPPER_INPUT_VERTEX_SLICE1	Clipper Input Vertex Slice1	Geometry	Number of Clipper input vertices
Geometry1	CLIPPER_INPUT_VERTEX_SLICE2	Clipper Input Vertex Slice2	Geometry	Number of Clipper input vertices
Geometry1	CLIPPER_INPUT_VERTEX_SLICE3	Clipper Input Vertex Slice3	Geometry	Number of Clipper input vertices
Geometry1	STREAMOUT_OUTPUT_VERTEX_COUNT_SLICE0	Streamout Output Vertex Count Slice0	Geometry	Number of vertices written by SOL
Geometry1	STREAMOUT_OUTPUT_VERTEX_COUNT_SLICE1	Streamout Output Vertex Count Slice1	Geometry	Number of vertices written by SOL
